model,doc_id,source_file,status,reason,gt_file_exists,matched_count,gt_only_count,pred_only_count,gt_defendant_count,pred_defendant_count,llm_calls,input_tokens,output_tokens,total_tokens,fallback_errors,fallback_used
act,01-02-2024-Khanh_Hoa-2ta1430918t1cvn,01-02-2024-Khanh_Hoa-2ta1430918t1cvn.json,processed,ok,True,1,0,0,1,1,3,23072,4722,27794,0,False
act,01-04-2025-Tuyen_Quang-2ta1791873t1cvn,01-04-2025-Tuyen_Quang-2ta1791873t1cvn.json,processed,ok,True,2,0,0,2,2,3,29283,6655,35938,0,False
act,01-08-2024-Bac_Giang-2ta1610530t1cvn,01-08-2024-Bac_Giang-2ta1610530t1cvn.json,processed,ok,True,1,0,0,1,1,3,23581,4934,28515,0,False
act,01-08-2025-Hai_Phong-2ta1913320t1cvn,01-08-2025-Hai_Phong-2ta1913320t1cvn.json,processed,ok,True,1,0,0,1,1,3,26546,4820,31366,0,False
act,02-04-2025-Ha_Noi-2ta1950007t1cvn,02-04-2025-Ha_Noi-2ta1950007t1cvn.json,processed,ok,True,1,0,0,1,1,3,24463,5193,29656,0,False
act,02-06-2025-Khanh_Hoa-2ta1912779t1cvn,02-06-2025-Khanh_Hoa-2ta1912779t1cvn.json,processed,ok,True,1,0,0,1,1,3,24110,4674,28784,0,False
act,02-07-2025-Ho_Chi_Minh-2ta1973163t1cvn,02-07-2025-Ho_Chi_Minh-2ta1973163t1cvn.json,processed,ok,True,1,0,0,1,1,3,25317,5001,30318,0,False
act,02-08-2024-Ho_Chi_Minh-2ta1628292t1cvn,02-08-2024-Ho_Chi_Minh-2ta1628292t1cvn.json,processed,ok,True,1,0,0,1,1,3,30797,4686,35483,0,False
act,02-12-2025-Ha_Noi-2ta2018534t1cvn,02-12-2025-Ha_Noi-2ta2018534t1cvn.json,processed,ok,True,1,0,0,1,1,3,24855,5311,30166,0,False
act,03-01-2025-An_Giang-2ta1917746t1cvn,03-01-2025-An_Giang-2ta1917746t1cvn.json,processed,ok,True,1,0,0,1,1,3,23836,4402,28238,0,False
act,03-01-2025-Hung_Yen-2ta1712895t1cvn,03-01-2025-Hung_Yen-2ta1712895t1cvn.json,processed,ok,True,1,0,0,1,1,3,28012,4817,32829,0,False
act,03-05-2024-Thai_Binh-2ta1510909t1cvn,03-05-2024-Thai_Binh-2ta1510909t1cvn.json,processed,ok,True,6,0,0,6,6,3,27618,7016,34634,0,False
act,03-06-2025-Ho_Chi_Minh-2ta1868097t1cvn,03-06-2025-Ho_Chi_Minh-2ta1868097t1cvn.json,processed,ok,True,1,0,0,1,1,3,21643,4109,25752,0,False
act,04-03-2024-Kien_Giang-2ta1597508t1cvn,04-03-2024-Kien_Giang-2ta1597508t1cvn.json,processed,ok,True,1,0,0,1,1,3,21147,4412,25559,0,False
act,04-03-2025-Hung_Yen-2ta1764393t1cvn,04-03-2025-Hung_Yen-2ta1764393t1cvn.json,processed,ok,True,2,0,0,2,2,3,36086,5682,41768,0,False
act,04-06-2025-Khanh_Hoa-2ta1896878t1cvn,04-06-2025-Khanh_Hoa-2ta1896878t1cvn.json,processed,ok,True,2,0,0,2,2,3,34001,5110,39111,0,False
act,04-09-2025-Son_La-2ta1975105t1cvn,04-09-2025-Son_La-2ta1975105t1cvn.json,processed,ok,True,1,0,0,1,1,3,28719,4330,33049,0,False
act,05-01-2024-Lai_Chau-2ta1406042t1cvn,05-01-2024-Lai_Chau-2ta1406042t1cvn.json,processed,ok,True,1,0,0,1,1,3,20004,5133,25137,0,False
act,05-03-2024-Kien_Giang-2ta1647682t1cvn,05-03-2024-Kien_Giang-2ta1647682t1cvn.json,processed,ok,True,1,0,0,1,1,3,20260,4611,24871,0,False
act,05-03-2025-Nghe_An-2ta1965821t1cvn,05-03-2025-Nghe_An-2ta1965821t1cvn.json,processed,ok,True,5,0,0,5,5,3,36560,7232,43792,0,False
act,05-07-2024-Cao_Bang-2ta1552371t1cvn,05-07-2024-Cao_Bang-2ta1552371t1cvn.json,processed,ok,True,1,0,0,1,1,3,21100,4718,25818,0,False
act,05-08-2025-Dak_Lak-2ta1897296t1cvn,05-08-2025-Dak_Lak-2ta1897296t1cvn.json,processed,ok,True,1,0,0,1,1,3,23914,4394,28308,0,False
act,05-09-2025-Ca_Mau-2ta2011326t1cvn,05-09-2025-Ca_Mau-2ta2011326t1cvn.json,processed,ok,True,1,0,0,1,1,3,27940,5088,33028,0,False
act,06-01-2025-Bac_Giang-2ta1741748t1cvn,06-01-2025-Bac_Giang-2ta1741748t1cvn.json,processed,ok,True,1,0,0,1,1,3,26161,5141,31302,0,False
act,06-03-2025-Nam_Dinh-2ta1782856t1cvn,06-03-2025-Nam_Dinh-2ta1782856t1cvn.json,processed,ok,True,2,0,0,2,2,3,24151,5836,29987,0,False
act,06-05-2025-Quang_Ngai-2ta1883967t1cvn,06-05-2025-Quang_Ngai-2ta1883967t1cvn.json,processed,ok,True,1,0,0,1,1,3,16323,4568,20891,0,False
act,06-06-2025-Ho_Chi_Minh-2ta1854245t1cvn,06-06-2025-Ho_Chi_Minh-2ta1854245t1cvn.json,processed,ok,True,2,0,0,2,2,4,36022,6686,42708,0,False
act,06-06-2025-Tuyen_Quang-2ta1850013t1cvn,06-06-2025-Tuyen_Quang-2ta1850013t1cvn.json,processed,ok,True,2,0,0,2,2,3,32485,5215,37700,0,False
act,06-08-2024-Binh_Duong-2ta1579304t1cvn,06-08-2024-Binh_Duong-2ta1579304t1cvn.json,processed,ok,True,2,0,0,2,2,3,26570,5265,31835,0,False
act,06-11-2025-Dong_Nai-2ta2056899t1cvn,06-11-2025-Dong_Nai-2ta2056899t1cvn.json,processed,ok,True,1,0,0,1,1,3,24790,4990,29780,0,False
act,07-03-2025-Hai_Duong-2ta1767390t1cvn,07-03-2025-Hai_Duong-2ta1767390t1cvn.json,processed,ok,True,1,0,0,1,1,3,25072,4282,29354,0,False
act,07-05-2024-Ho_Chi_Minh-2ta1619879t1cvn,07-05-2024-Ho_Chi_Minh-2ta1619879t1cvn.json,processed,ok,True,1,0,0,1,1,3,26147,4072,30219,0,False
act,07-08-2024-Ba_Ria_Vung_Tau-2ta1618858t1cvn,07-08-2024-Ba_Ria_Vung_Tau-2ta1618858t1cvn.json,processed,ok,True,3,0,0,3,3,3,23786,5434,29220,0,False
act,07-08-2025-Bac_Ninh-2ta1900243t1cvn,07-08-2025-Bac_Ninh-2ta1900243t1cvn.json,processed,ok,True,2,0,0,2,2,3,27355,6695,34050,0,False
act,07-08-2025-Cao_Bang-2ta1957517t1cvn,07-08-2025-Cao_Bang-2ta1957517t1cvn.json,processed,ok,True,1,0,0,1,1,3,22275,4367,27677,1,True
act,07-08-2025-Nghe_An-2ta1871673t1cvn,07-08-2025-Nghe_An-2ta1871673t1cvn.json,processed,ok,True,1,0,0,1,1,3,24494,4395,28889,0,False
act,07-11-2024-Lai_Chau-2ta1687837t1cvn,07-11-2024-Lai_Chau-2ta1687837t1cvn.json,processed,ok,True,1,0,0,1,1,3,26659,4663,31322,0,False
act,08-04-2024-Ho_Chi_Minh-2ta1604010t1cvn,08-04-2024-Ho_Chi_Minh-2ta1604010t1cvn.json,processed,ok,True,1,0,0,1,1,3,22967,4745,27712,0,False
act,08-04-2024-Nam_Dinh-2ta1484859t1cvn,08-04-2024-Nam_Dinh-2ta1484859t1cvn.json,processed,ok,True,5,0,0,5,5,3,33747,6821,40568,0,False
act,08-05-2024-Dong_Thap-2ta1503612t1cvn,08-05-2024-Dong_Thap-2ta1503612t1cvn.json,processed,ok,True,1,0,0,1,1,3,20146,4764,24910,0,False
act,08-07-2025-Tuyen_Quang-2ta1866767t1cvn,08-07-2025-Tuyen_Quang-2ta1866767t1cvn.json,processed,ok,True,4,0,0,4,4,3,24683,6399,31082,0,False
act,09-01-2024-Ha_Noi-2ta1626776t1cvn,09-01-2024-Ha_Noi-2ta1626776t1cvn.json,processed,ok,True,1,0,0,1,1,3,29096,4832,33928,0,False
act,09-01-2025-Bac_Lieu-2ta1763232t1cvn,09-01-2025-Bac_Lieu-2ta1763232t1cvn.json,processed,ok,True,1,0,0,1,1,3,29028,5044,34072,0,False
act,09-01-2025-Phu_Tho-2ta1852066t1cvn,09-01-2025-Phu_Tho-2ta1852066t1cvn.json,processed,ok,True,2,0,0,2,2,3,32112,5741,37853,0,False
act,09-04-2024-Dak_Lak-2ta1491704t1cvn,09-04-2024-Dak_Lak-2ta1491704t1cvn.json,processed,ok,True,3,0,0,3,3,3,28736,6337,35073,0,False
act,09-05-2024-Quang_Ninh-2ta1555454t1cvn,09-05-2024-Quang_Ninh-2ta1555454t1cvn.json,processed,ok,True,1,0,0,1,1,3,21587,4976,26563,0,False
act,09-06-2025-Vinh_Phuc-2ta1928651t1cvn,09-06-2025-Vinh_Phuc-2ta1928651t1cvn.json,processed,ok,True,2,0,0,2,2,3,29668,5305,34973,0,False
act,09-07-2024-Tuyen_Quang-2ta1553282t1cvn,09-07-2024-Tuyen_Quang-2ta1553282t1cvn.json,processed,ok,True,1,0,0,1,1,3,14115,3147,17262,0,False
act,09-08-2024-Dong_Thap-2ta1594564t1cvn,09-08-2024-Dong_Thap-2ta1594564t1cvn.json,processed,ok,True,1,0,0,1,1,3,23159,5137,28296,0,False
act,09-09-2025-Dien_Bien-2ta1980311t1cvn,09-09-2025-Dien_Bien-2ta1980311t1cvn.json,processed,ok,True,1,0,0,1,1,3,25109,4849,29958,0,False
act,09-09-2025-Son_La-2ta1978095t1cvn,09-09-2025-Son_La-2ta1978095t1cvn.json,processed,ok,True,16,0,0,16,16,3,41991,12357,56419,1,True
act,10-01-2025-Khanh_Hoa-2ta1738112t1cvn,10-01-2025-Khanh_Hoa-2ta1738112t1cvn.json,processed,ok,True,1,0,0,1,1,3,30936,5461,36397,0,False
